gregorain_date,gregorian_year,gregorian_month,gregorian_day,is_holiday,event_origin,event_name
1992-01-10 00:00:00,,,,0,۲۰ دی,سالروز قتل امیرکبیر به دستور ناصرالدین شاه قاجار
1992-01-13 00:00:00,,,,0,۲۳ دی,دی به دین روز، چهارمین جشن دیگان
1992-01-16 00:00:00,,,,0,۱۰ رجب,ولادت امام محمد تقی علیه السلام
1992-01-17 00:00:00,,,,0,۲۷ دی,اجرای توافق نامه‌ی برجام
1992-01-19 00:00:00,,,,1,۱۳ رجب,ولادت امام علی علیه السلام و روز پدر
1992-01-22 00:00:00,,,,0,۲ بهمن,بهمن روز، جشن بهمنگان
1992-01-21 00:00:00,,,,0,۱ بهمن,زادروز فردوسی
1992-01-21 00:00:00,,,,0,۱۵ رجب,وفات حضرت زینب سلام الله علیها
1992-01-25 00:00:00,,,,0,۵ بهمن,جشن نوسره
1992-01-30 00:00:00,,,,0,۱۰ بهمن,جشن سده
1992-01-31 00:00:00,,,,0,۲۵ رجب,شهادت امام موسی کاظم علیه السلام
1992-02-01 00:00:00,,,,0,۱۲ بهمن,بازگشت امام خمینی به ایران
1992-02-02 00:00:00,,,,1,۲۷ رجب,مبعث  رسول اکرم
1992-02-04 00:00:00,,,,0,۱۵ بهمن,جشن میانه زمستان
1992-02-07 00:00:00,,,,0,۳ شعبان,ولادت سالار شهیدان، امام حسین علیه السلام و روز پاسدار
1992-02-08 00:00:00,,,,0,۱۹ بهمن,روز نیروی هوایی
1992-02-08 00:00:00,,,,0,۴ شعبان,ولادت ابوالفضل العباس علیه السلام و روز جانباز
1992-02-09 00:00:00,,,,0,۵ شعبان,ولادت امام زین العابدین علیه السلام
1992-02-11 00:00:00,,,,0,۱۱ فوریه,تولد توماس ادیسون
1992-02-11 00:00:00,,,,0,۱۱ فوریه,حمله به سفارت روسیه و قتل گریبایدوف سفیر روسیه تزاری در ایران
1992-02-11 00:00:00,,,,1,۲۲ بهمن,پیروزی انقلاب اسلامی
1992-02-12 00:00:00,,,,0,۱۲ فوریه,زادروز چارلز داروین بنیانگذار نظریه‌ی فرگشت از طریق انتخاب طبیعی
1992-02-15 00:00:00,,,,0,۱۱ شعبان,ولادت علی اکبر علیه السلام و روز جوان
1992-02-19 00:00:00,,,,1,۱۵ شعبان,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان
1992-02-21 00:00:00,,,,0,۲۱ فوریه,روز جهانی زبان مادری
1992-02-21 00:00:00,,,,0,۲۱ فوریه,درگذشت فردریک بانتینگ کاشف انسولین
1992-02-26 00:00:00,,,,0,۷ اسفند,سالروز استقلال کانون وکلای دادگستری و روز وکیل مدافع
1992-02-26 00:00:00,,,,0,۷ اسفند,سالروز درگذشت علی اکبر دهخدا
1992-02-24 00:00:00,,,,0,۵ اسفند,جشن اسفندگان(سپندارمذگان) روز عشق
1992-02-24 00:00:00,,,,0,۵ اسفند,روز بزرگداشت زمین و بانوان
1992-02-24 00:00:00,,,,0,۵ اسفند,روز بزرگداشت خواجه نصیر الدین طوسی و روز مهندس
1992-03-04 00:00:00,,,,0,۱۴ اسفند,روز احسان و نیکوکاری
1992-03-04 00:00:00,,,,0,۱۴ اسفند,سالروز درگذشت دکتر محمد مصدق
1992-03-05 00:00:00,,,,0,۱۵ اسفند,روز درختکاری
1992-03-08 00:00:00,,,,0,۸ مارس,روزجهانی زنان
1992-03-14 00:00:00,,,,0,۱۴ مارس,تولد آلبرت انیشتین
1992-03-15 00:00:00,,,,0,۲۵ اسفند,پایان سرایش شاهنامه
1992-03-15 00:00:00,,,,0,۲۵ اسفند,جشن چهارشنبه سوری
1992-03-19 00:00:00,,,,1,۲۹ اسفند,روز ملی شدن صنعت نفت ایران
1992-03-20 00:00:00,,,,0,۱۵ رمضان,ولادت امام حسن مجتبی علیه السلام
1992-03-20 00:00:00,,,,1,۳۰ اسفند,آخرین روز سال
1992-03-21 00:00:00,,,,1,۱ فروردین,جشن نوروز/جشن سال نو
1992-03-22 00:00:00,,,,1,۲ فروردین,عیدنوروز
1992-03-23 00:00:00,,,,0,۱۸ رمضان,شب قدر
1992-03-23 00:00:00,,,,1,۳ فروردین,عیدنوروز
1992-03-24 00:00:00,,,,0,۱۹ رمضان,ضربت خوردن حضرت علی علیه السلام
1992-03-24 00:00:00,,,,1,۴ فروردین,عیدنوروز
1992-03-26 00:00:00,,,,0,۶ فروردین,روز امید، روز شادباش نویسی
1992-03-26 00:00:00,,,,0,۶ فروردین,زادروز آشو زرتشت، اَبَراِنسان بزرگ تاریخ
